conv_id	prompt	ratings	sender	start	text	timestamp
910681f6-f677-4ec5-9e45-cf21ab67f0ac	If a computer becomes indistinguishable from a person, is it murder to turn it off?	{'witty': 5, 'upbeat': 5, 'interesting': 5}	549cc1d1-270e-4a53-b561-133a8d0086b4	2018-05-10T06:55:56Z	hello? / 	2018-05-10T00:56:00Z
db562a93-31d4-48fb-85df-31887e3644fc	What if the world was made of peanut butter?	{'interesting': 5, 'witty': 5, 'upbeat': 5}	b749357c-1a51-4803-a03a-7ecec7b97c14	2018-10-18T04:41:18Z	what up / 	2018-10-17T22:41:37Z
3ae54aa5-f37f-42ef-8536-e3ee496cff78	What would you do if you had a million dollars?	{'interesting': 1, 'witty': 1, 'upbeat': 1}	d6a75db8-af9f-4962-bd4c-a154abc2b7f6	2018-10-17T00:13:51Z	Buy apple / 	2018-10-16T18:14:23Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	4562c16f-25b8-4dee-a541-e84d4c8d13dd	2018-05-16T18:01:30Z	Hey / 	2018-05-16T12:01:39Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	5e5f6bde-85ca-492e-8c7c-dfd1dbf39580	2018-05-16T18:01:30Z	Hey! / 	2018-05-16T12:01:44Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	4562c16f-25b8-4dee-a541-e84d4c8d13dd	2018-05-16T18:01:30Z	What's up girlie / 	2018-05-16T12:02:06Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	5e5f6bde-85ca-492e-8c7c-dfd1dbf39580	2018-05-16T18:01:30Z	Clouds! / 	2018-05-16T12:02:20Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	4562c16f-25b8-4dee-a541-e84d4c8d13dd	2018-05-16T18:01:30Z	Dang you right / 	2018-05-16T12:02:33Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	5e5f6bde-85ca-492e-8c7c-dfd1dbf39580	2018-05-16T18:01:30Z	And chickens / 	2018-05-16T12:02:47Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	4562c16f-25b8-4dee-a541-e84d4c8d13dd	2018-05-16T18:01:30Z	Wow you win the conversation. I surrender. / 	2018-05-16T12:03:20Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	5e5f6bde-85ca-492e-8c7c-dfd1dbf39580	2018-05-16T18:01:30Z	*bows* / So what would happen if two computers talked to each other? / 	2018-05-16T12:03:41Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	4562c16f-25b8-4dee-a541-e84d4c8d13dd	2018-05-16T18:01:30Z	That sounds like some I, Robot kind of creepy stuff, hopefully not that apocalypse / 	2018-05-16T12:04:23Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	5e5f6bde-85ca-492e-8c7c-dfd1dbf39580	2018-05-16T18:01:30Z	So this test to make a computer intelligence is trying to start an apocalypse / The hidden face of BYU has shown itself / 	2018-05-16T12:06:30Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	4562c16f-25b8-4dee-a541-e84d4c8d13dd	2018-05-16T18:01:30Z	Gaso / *gasp / 	2018-05-16T12:06:34Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	5e5f6bde-85ca-492e-8c7c-dfd1dbf39580	2018-05-16T18:01:30Z	I wonder how well this Ai is going to turn out / that they're trying to make / 	2018-05-16T12:10:45Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	4562c16f-25b8-4dee-a541-e84d4c8d13dd	2018-05-16T18:01:30Z	Hey I gotta leave for about 20 minutes, so if you have to end the chat, no worries, but if not I'll be back (terminator voice) / 	2018-05-16T12:12:06Z
17da5ec9-f44c-4263-97e6-d0be4da7e3bf	What would happen if two computers chatted with each other?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	5e5f6bde-85ca-492e-8c7c-dfd1dbf39580	2018-05-16T18:01:30Z	Holy guac, terminator. / 	2018-05-16T12:12:29Z
f71eb073-e255-47ca-8fe3-0805107b8e6c	What charitable or philanthropic cause are you most passionate about?	{'upbeat': 1, 'interesting': 1, 'witty': 1}	5e5f6bde-85ca-492e-8c7c-dfd1dbf39580	2018-05-15T17:58:38Z	Hello? / 	2018-05-15T11:58:53Z
5585c198-7646-4cc7-8469-1a30e0824529	What would you do if you had a million dollars?	{'interesting': 5, 'witty': 5, 'upbeat': 5}	1ed7b7e5-2e3a-44ae-94bf-7187b86ec11f	2018-10-11T03:59:22Z	If I had a million dollars, I'd buy you a house / I'd buy you furniture for your house / Maybe a nice chesterfield or an ottoman / I'd buy you a k-car / A nice reliant automobile / 	2018-10-10T22:01:04Z
198debb9-0d44-4417-a4c8-dec1815502eb			df835070-706d-4021-ab13-ceed5a153e54	2018-04-10T21:35:21Z	Hi! How are you? / 	2018-04-10T21:35:21Z
198debb9-0d44-4417-a4c8-dec1815502eb			765ee2c5-1d86-41e7-a3d6-c23ae0ce305d	2018-04-10T21:35:21Z	Sad that I didnt come up with a username as clever as that / well done sir / or ma'am / you never know nowadays hahah / 	2018-04-10T21:36:02Z
198debb9-0d44-4417-a4c8-dec1815502eb			df835070-706d-4021-ab13-ceed5a153e54	2018-04-10T21:35:21Z	Ima dude haha / how did you see my username? yours is just a white blob / So, what I guess I am saying is, what can I call you? / 	2018-04-10T21:37:11Z
198debb9-0d44-4417-a4c8-dec1815502eb			765ee2c5-1d86-41e7-a3d6-c23ae0ce305d	2018-04-10T21:35:21Z	Oh for real? The name's Blake Walker nice to meet you man. So are you on here because of that presentation those people gave in BUSM 241? / 	2018-04-10T21:38:02Z
198debb9-0d44-4417-a4c8-dec1815502eb			df835070-706d-4021-ab13-ceed5a153e54	2018-04-10T21:35:21Z	Nice to meet you too Blake. And yeah, I am! I am sitting in BUSM 241 as we speak, or type :) / 	2018-04-10T21:42:44Z
198debb9-0d44-4417-a4c8-dec1815502eb			765ee2c5-1d86-41e7-a3d6-c23ae0ce305d	2018-04-10T21:35:21Z	Oh nice! I had the 12:30 class, and I'm just like hey if a macbook is one of the prizes, then I'm so down! I must have missed it, but did they mention how we see how many points we've earned? / 	2018-04-10T21:44:42Z
198debb9-0d44-4417-a4c8-dec1815502eb			df835070-706d-4021-ab13-ceed5a153e54	2018-04-10T21:35:21Z	Hahah, same! But it was the Boise headphones which caught my attention. And no, I don't remember how to check on your points. Do you know if we have a profile that we can check on? / 	2018-04-10T21:49:44Z
198debb9-0d44-4417-a4c8-dec1815502eb			765ee2c5-1d86-41e7-a3d6-c23ae0ce305d	2018-04-10T21:35:21Z	Nah I don't. Sorry man looks like we're out of options haha / 	2018-04-12T16:08:07Z
98bbfe6a-4b38-4de2-8e2d-0e73dfe6d8fb	What superpower do you wish you had, and why?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	c3278446-f222-4940-8c01-910aded69e50	2018-05-12T01:45:27Z	I would like to have the ability of changing superpowers as I need or want between a long gamma of options. If that is not available, then the ability of time traveling / 	2018-05-11T19:46:46Z
55bdfe74-5f9d-402a-bc75-c446e8ad7c66	What if unicorns were real?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	6dd41fff-8b63-44be-bae7-524ce4ca5796	2018-05-12T00:36:32Z	Hey how are you / 	2018-05-11T18:36:51Z
55bdfe74-5f9d-402a-bc75-c446e8ad7c66	What if unicorns were real?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	fa8f8789-b334-4ab7-96e8-e3cfc44b467b	2018-05-12T00:36:32Z	I'm doing pretty great, how about you / ? / 	2018-05-11T18:37:06Z
55bdfe74-5f9d-402a-bc75-c446e8ad7c66	What if unicorns were real?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	6dd41fff-8b63-44be-bae7-524ce4ca5796	2018-05-12T00:36:32Z	Same here! / 	2018-05-11T18:37:25Z
55bdfe74-5f9d-402a-bc75-c446e8ad7c66	What if unicorns were real?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	fa8f8789-b334-4ab7-96e8-e3cfc44b467b	2018-05-12T00:36:32Z	Awesome / Are you taking classes right now at BYU? / 	2018-05-11T18:37:54Z
55bdfe74-5f9d-402a-bc75-c446e8ad7c66	What if unicorns were real?	{'upbeat': 5, 'interesting': 5, 'witty': 5}	6dd41fff-8b63-44be-bae7-524ce4ca5796	2018-05-12T00:36:32Z	Not for spring or summer / Are you? How far in school are you? / 	2018-05-11T18:38:20Z
